;;;;
Австралия;Канберра;7 686 850;24 238 610;Австралия и Океания
Австрия;Вена;83 858;8 741 753;Европа
Азербайджан;Баку;86 600;9 705 600;Азия
Албания;Тирана;28 748;2 866 026;Европа
Алжир;Алжир;2 381 740;39 813 722;Африка
Ангола;Луанда;1 246 700;25 831 000;Африка
Андорра;Андорра-ла-Велья;468;78 014;Европа
Антигуа и Барбуда;Сент-Джонс;442;93 581;Северная Америка
Аргентина;Буэнос-Айрес;2 766 890;43 847 000;Южная Америка
Армения;Ереван;29 741;2 995 100;Азия
Афганистан;Кабул;647 500;29 822 848;Азия
Багамские Острова;Нассау;13 940;393 000;Северная Америка
Бангладеш;Дакка;144 000;160 221 000;Азия
Барбадос;Бриджтаун;430;291 495;Северная Америка
Бахрейн;Манама;701;1 397 000;Азия
Белиз;Бельмопан;22 966;377 968;Северная Америка
Белоруссия;Минск;207 595;9 498 400;Европа
Бельгия;Брюссель;30 528;11 250 585;Европа
Бенин;Порто-Ново;112 620;11 167 000;Африка
Болгария;София;110 910;7 153 784;Европа
Боливия;Сукре;1 098 580;10 985 059;Южная Америка
Босния и Герцеговина;Сараево;51 129;3 802 000;Европа
Ботсвана;Габороне;600 370;2 209 208;Африка
Бразилия;Бразилиа;8 511 965;206 081 432;Южная Америка
Бруней;Бандар-Сери-Бегаван;5 770;436 620;Азия
Буркина-Фасо;Уагадугу;274 200;19 034 397;Африка
Бурунди;Гитега;27 830;11 099 298;Африка
Бутан;Тхимпху;47 000;784 000;Азия
Вануату;Порт-Вила;12 200;289 700;Австралия и Океания
Ватикан;Ватикан;0.44;842;Европа
Великобритания;Лондон;244 820;65 341 183;Европа
Венгрия;Будапешт;93 030;9 830 485;Европа
Венесуэла;Каракас;912 050;31 028 637;Южная Америка
Восточный Тимор;Дили;14 874;1 167 242;Азия
Вьетнам;Ханой;329 560;91 713 300;Азия
Габон;Либревиль;267 667;1 811 079;Африка
Гаити;Порт-о-Пренс;27 750;10 911 819;Северная Америка
Гайана;Джорджтаун;214 970;741 962;Южная Америка
Гамбия;Банжул;11 300;2 025 527;Африка
Гана;Аккра;238 540;28 308 301;Африка
Гватемала;Гватемала;108 890;16 555 556;Северная Америка
Гвинея;Конакри;245 857;10 628 972;Африка
Гвинея-Бисау;Бисау;36 120;1 547 754;Африка
Германия;Берлин;357 021;82 175 684;Европа
Гондурас;Тегусигальпа;112 090;8 721 014;Северная Америка
Государство Палестина;Иерусалим;6 020;4 816 503;Азия
Гренада;Сент-Джорджес;340;110 566;Северная Америка
Греция;Афины;131 940;10 793 526;Европа
Грузия;Тбилиси;69 700;3 720 400;Азия
Дания;Копенгаген;43 094;5 707 251;Европа
Джибути;Джибути;22 000;890 179;Африка
Доминика;Розо;754;69 393;Северная Америка
Доминиканская Республика;Санто-Доминго;48 730;10 075 045;Северная Америка
ДР Конго;Киншаса;2 345 410;85 026 000;Африка
Египет;Каир;1 001 450;91 701 723;Африка
Замбия;Лусака;752 614;16 717 000;Африка
Зимбабве;Хараре;390 580;15 967 000;Африка
Израиль;Иерусалим;22 072;8 585 000;Азия
Индия;Нью-Дели;3 287 590;1 268 961 000;Азия
Индонезия;Джакарта;1 904 556;255 461 700;Азия
Иордания;Амман;89 400;9 813 095;Азия
Ирак;Багдад;437 072;37 883 543;Азия
Иран;Тегеран;1 648 000;80 840 713;Азия
Ирландия;Дублин;70 273;4 658 530;Европа
Исландия;Рейкьявик;103 000;332 529;Европа
Испания;Мадрид;497 304;46 438 422;Европа
Италия;Рим;301 340;60 665 551;Европа
Йемен;Сана;527 970;27 478 000;Азия
Кабо-Верде;Прая;4 033;538 535;Африка
Казахстан;Нур-Султан;2 724 900;17 753 200;Азия
Камбоджа;Пномпень;181 040;15 827 000;Азия
Камерун;Яунде;475 440;23 924 000;Африка
Канада;Оттава;9 976 139;36 286 425;Северная Америка
Катар;Доха;11 437;2 553 393;Азия
Кения;Найроби;582 650;44 156 577;Африка
Кипр;Никосия;9 250;848 319;Азия
Киргизия;Бишкек;198 500;6 019 500;Азия
Кирибати;Южная Тарава;717;109 693;Австралия и Океания
Китай;Пекин;9 640 821;1 410 549 741;Азия
КНДР;Пхеньян;120 540;25 281 000;Азия
Колумбия;Богота;1 138 910;48 892 070;Южная Америка
Коморские Острова;Морони;2 235;806 153;Африка
Коста-Рика;Сан-Хосе;51 100;4 890 379;Северная Америка
Кот-д'Ивуар;Ямусукро;322 460;23 254 000;Африка
Куба;Гавана;110 860;11 236 348;Северная Америка
Кувейт;Эль-Кувейт;17 820;4 330 308;Азия
Лаос;Вьентьян;236 800;6 492 400;Азия
Латвия;Рига;64 589;1 968 957;Европа
Лесото;Масеру;30 355;2 160 000;Африка
Либерия;Монровия;111 370;4 001 855;Африка
Ливан;Бейрут;10 452;5 988 000;Азия
Ливия;Триполи;1 759 540;6 244 174;Африка
Литва;Вильнюс;65 200;2 888 558;Европа
Лихтенштейн;Вадуц;160;37 662;Европа
Люксембург;Люксембург;2 586;576 249;Европа
Маврикий;Порт-Луи;2 040;1 263 747;Африка
Мавритания;Нуакшот;1 030 700;3 537 368;Африка
Мадагаскар;Антананариву;587 040;24 430 325;Африка
Малави;Лилонгве;118 480;17 377 468;Африка
Малайзия;Куала-Лумпур;329 750;31 790 277;Азия
Мали;Бамако;1 240 000;18 135 000;Африка
Мальдивские Острова;Мале;300;402 071;Азия
Мальта;Валлетта;316;434 403;Европа
Марокко;Рабат;446 550;34 817 000;Африка
Маршалловы Острова;Маджуро;181;55 717;Австралия и Океания
Мексика;Мехико;1 972 550;122 273 473;Северная Америка
Мозамбик;Мапуту;801 590;26 423 623;Африка
Молдавия;Кишинёв;33 846;3 553 056;Европа
Монако;Монако;02.фев;38 400;Европа
Монголия;Улан-Батор;1 564 116;3 081 677;Азия
Мьянма;Нейпьидо;678 500;51 419 420;Азия
Намибия;Виндхук;825 418;2 436 469;Африка
Науру;[нет столицы];21.30;10 800;Австралия и Океания
Непал;Катманду;140 800;28 431 494;Азия
Нигер;Ниамей;1 267 000;20 715 000;Африка
Нигерия;Абуджа;923 768;186 988 000;Африка
Нидерланды;Амстердам;41 526;16 979 120;Европа
Никарагуа;Манагуа;129 494;6 262 703;Северная Америка
Новая Зеландия;Веллингтон;268 680;4 722 321;Австралия и Океания
Норвегия;Осло;385 186;5 213 985;Европа
ОАЭ;Абу-Даби;82 880;9 267 000;Азия
Оман;Маскат;309 500;4 523 401;Азия
Пакистан;Исламабад;881 913;196 174 380;Азия
Палау;Нгерулмуд;458;17 661;Австралия и Океания
Панама;Панама;78 200;4 037 043;Северная Америка
Папуа - Новая Гвинея;Порт-Морсби;463 840;8 151 300;Австралия и Океания
Парагвай;Асунсьон;406 750;6 854 536;Южная Америка
Перу;Лима;1 285 220;31 488 625;Южная Америка
Польша;Варшава;312 685;37 967 209;Европа
Португалия;Лиссабон;92 082;10 341 330;Европа
Республика Конго;Браззавиль;342 000;4 741 000;Африка
Республика Корея;Сеул;98 480;51 664 244;Азия
Россия;Москва;17 102 345;146 544 700;Европа
Руанда;Кигали;26 338;11 533 446;Африка
Румыния;Бухарест;237 500;19 759 968;Европа
Сальвадор;Сан-Сальвадор;21 040;6 460 271;Северная Америка
Самоа;Апиа;2 860;194 899;Австралия и Океания
Сан-Марино;Сан-Марино;61.00;33 005;Европа
Сан-Томе и Принсипи;Сан-Томе;1 001;194 000;Африка
Саудовская Аравия;Эр-Рияд;2 218 000;31 015 999;Азия
Северная Македония;Скопье;25 333;2 071 278;Европа
Сейшельские Острова;Виктория;455;93 186;Африка
Сенегал;Дакар;196 190;14 799 859;Африка
Сент-Винсент и Гренадины;Кингстаун;389;110 255;Северная Америка
Сент-Китс и Невис;Бастер;261;52 329;Северная Америка
Сент-Люсия;Кастри;620;172 818;Северная Америка
Сербия;Белград;88 361;9 846 582;Европа
Сингапур;Сингапур;714;5 607 300;Азия
Сирия;Дамаск;185 180;17 185 170;Азия
Словакия;Братислава;48 845;5 426 252;Европа
Словения;Любляна;20 253;2 064 188;Европа
Соломоновы Острова;Хониара;28 450;651 700;Австралия и Океания
Сомали;Могадишо;637 657;12 316 895;Африка
Судан;Хартум;1 886 068;41 176 000;Африка
Суринам;Парамарибо;163 270;558 773;Южная Америка
США;Вашингтон;9 522 057;322 762 018;Северная Америка
Сьерра-Леоне;Фритаун;71 740;7 075 641;Африка
Таджикистан;Душанбе;143 100;8 551 000;Азия
Таиланд;Бангкок;514 000;68 147 000;Азия
Танзания;Додома;948 087;50 142 938;Африка
Того;Ломе;56 785;7 143 000;Африка
Тонга;Нукуалофа;748;106 440;Австралия и Океания
Тринидад и Тобаго;Порт-оф-Спейн;5 128;1 349 667;Северная Америка
Тувалу;Фунафути;26.00;10 782;Австралия и Океания
Тунис;Тунис;163 610;11 154 372;Африка
Туркмения;Ашхабад;491 200;5 439 000;Азия
Турция;Анкара;780 580;78 741 053;Азия
Уганда;Кампала;236 040;36 860 700;Африка
Узбекистан;Ташкент;447 400;31 807 000;Азия
Украина;Киев;576 604;42 650 186;Европа
Уругвай;Монтевидео;176 220;3 480 222;Южная Америка
Федеративные Штаты Микронезии;Паликир;702;105 681;Австралия и Океания
Фиджи;Сува;18 270;903 207;Австралия и Океания
Филиппины;Манила;300 000;102 980 480;Азия
Финляндия;Хельсинки;337 030;5 487 308;Европа
Франция;Париж;547 030;64 513 242;Европа
Хорватия;Загреб;56 542;4 190 669;Европа
ЦАР;Банги;622 984;5 277 959;Африка
Чад;Нджамена;1 284 000;14 497 000;Африка
Черногория;Подгорица;14 026;622 218;Европа
Чехия;Прага;78 866;10 553 843;Европа
Чили;Сантьяго;756 950;18 006 407;Южная Америка
Швейцария;Берн;41 290;8 325 194;Европа
Швеция;Стокгольм;449 964;9 851 017;Европа
Шри-Ланка;Шри-Джаяварденепура-Котте;65 610;21 866 445;Азия
Эквадор;Кито;283 560;16 599 593;Южная Америка
Экваториальная Гвинея;Малабо;28 051;1 222 442;Африка
Эритрея;Асмэра;121 320;5 352 000;Африка
Эсватини;Мбабане;17 363;1 419 623;Африка
Эстония;Таллин;45 226;1 315 944;Европа
Эфиопия;Аддис-Абеба;1 127 127;101 853 000;Африка
ЮАР;Претория;1 219 912;55 908 900;Африка
Южная Осетия;Цхинвал;3 900;53 532;Азия
Южный Судан;Джуба;619 745;12 733 000;Африка
Ямайка;Кингстон;10 990;2 723 000;Северная Америка
Япония;Токио;377 944;127 103 388;Азия
